title,author,description,genres,year
The Time Machine,H. G. Wells,description,[],1895
Machine learning,"Kevin P. Murphy, Kevin P. Murphy",description,[],2012
Machine learning,Ethem Alpaydin,description,[],2016
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Aurélien Géron,description,[],2019
Introduction to Machine Learning with Python,"Andreas C. Mueller, Sarah Guido",description,[],2016
Machine Learning Proceedings 1995,Machine Learning,description,[],1995
Machine Learning,Mg Martin,description,[],2019
The War of the Worlds,H. G. Wells,description,[],1898
Why Machines Learn,Anil Ananthaswamy,description,[],2024
The Invisible Man,H. G. Wells,description,[],0
Alice's Adventures in Wonderland,Lewis Carroll,description,[],1865
Introduction to machine learning,Ethem Alpaydin,description,[],2004
Machine Learning Proceedings 1990,Machine Learning,description,[],1990
Machine Learning Proceedings 1993,Machine Learning,description,[],1993
Machine Learning For Dummies,"John Paul Mueller, Luca Massaron",description,[],2016
Machine Learning Proceedings 1989,Machine Learning,description,[],1989
Machine Learning Proceedings 1991 (Ml91),Machine Learning,description,[],1991
Machine Learning Proceedings 1992 (Ml92),Machine Learning,description,[],1992
Machine-Learning Basics for Beginners : Machine Learning Methods,Valentin Cholewa,description,[],2021
Machine Learning,Vincy Joseph Anuradha Srinivasaraghavan,description,[],2018
Python machine learning,Sebastian Raschka,description,[],2015
Machine Learning,Robert Keane,description,[],2017
Machine Learning,Alexander Jung,description,[],2023
Machine Learning,Peter Wolfinger,description,[],2020
The Hundred-Page Machine Learning Book,Andriy Burkov,description,[],2019
Machine learning,Stephen Marsland,description,[],2009
Machine learning,"Ryszard S. Michalski, Jaime G. Carbonell, Tom M. Mitchell",description,[],1983
Machine Learning,"Mohssen Mohammed, Muhammad Badruddin Khan, Ejhab Bashier Mohammed Bashier",description,[],2016
Machine Learning System Design Interview,"Ali Aminian, Alex Xu",description,[],2023
Foundations of machine learning,Mehryar Mohri,description,[],2012
Machine Learning,Frank Millstein,description,[],2018
Optimization and Machine Learning,"Rachid Chelouah, Patrick Siarry",description,[],2022
Machine Learning,Steve Jacobs,description,[],2017
Machine Learning,Tom M. Mitchell,description,[],1997
Machine Learning,"Rui Camacho,Pavel Brazdil,Jo O. Gama",description,[],2008
Machine learning for hackers,Drew Conway,description,[],2012
Machine Learning,Edward Mize,description,[],2019
Machine Learning with Python,"Eknath, Prof. Upasani Dhananjay, 1st, Shete, Prof. Virendra Virbhadra, 1st",description,[],2021
Cost-sensitive machine learning,"Balaji Krishnapuram, Shipeng Yu, Bharat Rao",description,[],2011
Machine Learning Basics : a Comprehensive Guide about Machine Learning,Valorie Mennen,description,[],2021
Probabilistic Machine Learning,Kevin P. Murphy,description,[],2022
Machine Learning with Pytorch and Scikit-Learn,"Sebastian Raschka, Yuxi (Hayden) Liu, Vahid Mirjalili, Dmytro Dzhulgakov",description,[],2022
Machine Learning,Seyedeh Leili Mirtaheri,description,[],2022
Machine Learning Interviews,Susan Shu Chang,description,[],2023
Machine Learning Design Interview,Khang Pham,description,[],2022
Mathematics for Machine Learning,"Marc Peter Deisenroth, A. Aldo Faisal, Cheng Soon Ong",description,[],2019
Machine Learning,Edgar Wertheim,description,[],2016
Machine learning in action,Peter Harrington,description,[],2012
Machine Learning Truth,Aubrey Mazzotta,description,[],2022
Machine Learning,Jugal Kalita,description,[],2022
